epoch,train,valid
1,0.0016150444280356169,0.000698812014888972
2,0.0007709109340794384,0.000698812014888972
3,0.0007709109340794384,0.000698812014888972
4,0.0007709109340794384,0.000698812014888972
5,0.0007709109340794384,0.000698812014888972
6,0.0007709109340794384,0.000698812014888972
7,0.0007709109340794384,0.000698812014888972
8,0.0007709109340794384,0.000698812014888972
9,0.0007709109340794384,0.000698812014888972
10,0.0007709109340794384,0.000698812014888972
11,0.0012747729197144508,0.000698812014888972
12,0.0008136066608130932,0.000698812014888972
13,0.012035245075821877,0.024276401847600937
14,0.047588150948286057,0.06227457895874977
15,0.08328336477279663,0.12574195861816406
16,0.10202942043542862,0.1304493248462677
17,0.10498955100774765,0.1348610669374466
18,0.10565641522407532,0.13454869389533997
19,0.10969534516334534,0.12509216368198395
20,0.10573066025972366,0.12670882046222687
21,0.11442723870277405,0.14686310291290283
22,0.12658235430717468,0.15125897526741028
23,0.13062413036823273,0.16918911039829254
24,0.14546248316764832,0.172615647315979
25,0.15527138113975525,0.17212983965873718
26,0.1610756367444992,0.17755725979804993
27,0.16388636827468872,0.17390818893909454
28,0.1696021854877472,0.1812783181667328
29,0.1666940450668335,0.1986837089061737
30,0.17078757286071777,0.17519743740558624
31,0.18118232488632202,0.1865321397781372
32,0.18834048509597778,0.19505256414413452
33,0.1895935833454132,0.19542281329631805
34,0.19296665489673615,0.20207934081554413
35,0.19396725296974182,0.19607484340667725
36,0.20322628319263458,0.21415062248706818
37,0.2117278128862381,0.2047005593776703
38,0.21268784999847412,0.22881510853767395
39,0.2185894250869751,0.23692753911018372
40,0.22074612975120544,0.22394831478595734
41,0.22695975005626678,0.23733392357826233
42,0.23292940855026245,0.25532063841819763
43,0.23645900189876556,0.2225136011838913
44,0.24071702361106873,0.2500045895576477
45,0.24324509501457214,0.238849475979805
46,0.24640171229839325,0.24739551544189453
47,0.25165531039237976,0.2634483873844147
48,0.2596437931060791,0.25336089730262756
49,0.27377787232398987,0.2583848834037781
50,0.2768797278404236,0.2765347957611084
51,0.29368722438812256,0.2678826153278351
52,0.3009750247001648,0.260667085647583
53,0.3068537414073944,0.2665603458881378
54,0.31556248664855957,0.2925183176994324
55,0.31808605790138245,0.29108184576034546
56,0.3201345205307007,0.29949137568473816
57,0.32326579093933105,0.2931334376335144
58,0.322787880897522,0.2942771911621094
59,0.3428362011909485,0.2953670024871826
60,0.35490480065345764,0.3209322392940521
61,0.3680374026298523,0.300200879573822
62,0.3711400628089905,0.326456755399704
63,0.3690897822380066,0.32145336270332336
64,0.370322585105896,0.3282877504825592
65,0.3770121932029724,0.32006412744522095
66,0.38429373502731323,0.3289121687412262
67,0.38805240392684937,0.332805871963501
68,0.3915613293647766,0.33478403091430664
69,0.3994487524032593,0.37584859132766724
70,0.42907246947288513,0.3699520230293274
71,0.4482991695404053,0.3991204500198364
72,0.4570815861225128,0.37619441747665405
73,0.4667584300041199,0.3938198685646057
74,0.4893166422843933,0.40684443712234497
75,0.4982288181781769,0.4295736849308014
76,0.5049954056739807,0.4127054214477539
77,0.5208219289779663,0.4290446639060974
78,0.5347142219543457,0.42851004004478455
79,0.5412348508834839,0.4602416753768921
80,0.550835907459259,0.4644370377063751
81,0.5763275623321533,0.49044328927993774
82,0.5900604128837585,0.5189934968948364
83,0.6097003221511841,0.5270808935165405
84,0.6291027069091797,0.5331025123596191
85,0.6388818025588989,0.5214897394180298
86,0.6420333981513977,0.5504869222640991
87,0.6455641984939575,0.5320801734924316
88,0.6467460989952087,0.5597892999649048
89,0.6469149589538574,0.540168285369873
90,0.665974497795105,0.554355800151825
91,0.6706730127334595,0.5681076049804688
92,0.6706375479698181,0.5456424951553345
93,0.6703099608421326,0.5650198459625244
94,0.6809903383255005,0.5687495470046997
95,0.6912244558334351,0.57804936170578
96,0.7104594111442566,0.5801700949668884
97,0.7184459567070007,0.5820711851119995
98,0.7192883491516113,0.5823307037353516
99,0.7219362258911133,0.5927529335021973
100,0.7331932783126831,0.6028591394424438
