epoch,train,valid
1,3.9806154012680053,3.986572599411011
2,3.981494442621867,3.986572599411011
3,3.981494438648224,3.986572599411011
4,3.981494438648224,3.986572599411011
5,3.981494434674581,3.9674753665924074
6,3.9814944505691527,3.986572599411011
7,3.98149444659551,3.986572599411011
8,3.981494430700938,3.9865726470947265
9,3.9814944366614022,3.986572599411011
10,3.9805829405784605,3.986572599411011
11,3.9811285297075907,3.9865726470947265
12,3.9803225497404733,3.9674752235412596
13,3.958630629380544,3.9343310832977294
14,3.90370512008667,3.8981006145477295
15,3.8566356639067334,3.8184753894805907
16,3.8303108513355255,3.79205904006958
17,3.824171710014343,3.8035677433013917
18,3.820643856128057,3.751009225845337
19,3.8150796631971997,3.760071039199829
20,3.810824873050054,3.8286866188049316
21,3.8055224776268006,3.696729230880737
22,3.7935482442378996,3.757008600234985
23,3.787264311313629,3.740541696548462
24,3.779821813106537,3.729716920852661
25,3.7643396596113843,3.711701774597168
26,3.755979992945989,3.7267520427703857
27,3.754119211435318,3.7260149002075194
28,3.7450228969256085,3.6721890449523924
29,3.742443823814392,3.6712018966674806
30,3.7365732351938883,3.714851140975952
31,3.728773085276286,3.735993671417236
32,3.7271837552388507,3.671823263168335
33,3.720794024070104,3.700203037261963
34,3.7116218229134876,3.699247646331787
35,3.705757357676824,3.6629598140716553
36,3.7004159371058147,3.7322856903076174
37,3.690753718217214,3.7051316261291505
38,3.685268646478653,3.6863638401031493
39,3.679427506526311,3.69693808555603
40,3.6770904660224915,3.660210371017456
41,3.6714440921942395,3.708359718322754
42,3.6644293407599133,3.6648368358612062
43,3.65220393538475,3.622282361984253
44,3.644918229182561,3.6789125919342043
45,3.6370961825052897,3.6647711753845216
46,3.633326840400696,3.615953731536865
47,3.6283416112263995,3.678377628326416
48,3.6224398334821064,3.6532917976379395
49,3.60261683066686,3.606723165512085
50,3.5924832920233407,3.64283127784729
51,3.5812596758206685,3.6755717277526854
52,3.5702529350916543,3.6340145587921144
53,3.5588859915733337,3.617836666107178
54,3.5472947398821515,3.6161351203918457
55,3.5446550925572713,3.556601619720459
56,3.5379313548405964,3.6156951904296877
57,3.5386275589466094,3.6587021350860596
58,3.531510899464289,3.6215054035186767
59,3.5222945312658944,3.6159188747406006
60,3.5123464902242025,3.582942581176758
61,3.4965896288553875,3.6482463836669923
62,3.4928629736105603,3.5510626792907716
63,3.492398734887441,3.6172883987426756
64,3.4922443131605783,3.5686787128448487
65,3.4855297644933065,3.573274564743042
66,3.4783206582069397,3.589041519165039
67,3.4667975922425587,3.582144260406494
68,3.4661793152491254,3.5727527141571045
69,3.461606518427531,3.583835554122925
70,3.441499211390813,3.5631501197814943
71,3.4288394530614217,3.568714141845703
72,3.417023565371831,3.5419710636138917
73,3.4064937492211658,3.501874876022339
74,3.3927890062332153,3.550985813140869
75,3.3849141200383506,3.4998574256896973
76,3.38184814453125,3.5342979431152344
77,3.368405282497406,3.475207233428955
78,3.3579201281070707,3.5508659362792967
79,3.3542052884896596,3.4594915390014647
80,3.342817705869675,3.509775257110596
81,3.3297892967859903,3.436243677139282
82,3.3146916290124255,3.384318780899048
83,3.3049336155255635,3.405199718475342
84,3.289279317855835,3.447578763961792
85,3.282269388437271,3.436780261993408
86,3.275777441263199,3.395298719406128
87,3.274004981915156,3.413704442977905
88,3.2719102879365285,3.4688432216644287
89,3.2678430477778115,3.400850248336792
90,3.263352072238922,3.4590410232543944
91,3.254069044192632,3.4493524074554442
92,3.2533695816993715,3.4262600898742677
93,3.247547588745753,3.446226978302002
94,3.246791696548462,3.396878385543823
95,3.234907416502635,3.3575995445251463
96,3.225904945532481,3.373560094833374
97,3.2153314570585887,3.369447135925293
98,3.214510134855906,3.362967777252197
99,3.2114865362644194,3.414826822280884
100,3.2093918581803638,3.368291711807251
